sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
169.019570,LOG,,,,,1,DONE    ATM2 -> c038
169.019570,DONE,c038,2,,,1,
169.019570,LOG,,,,,0,"START   ATM2 <- c039 (wait=2.03m, st=4.85m)"
169.019570,START,c039,2,2.032309,4.852642,0,
170.420474,LOG,,,,,0,DONE    ATM1 -> c037
170.420474,DONE,c037,1,,,0,
173.872212,LOG,,,,,0,DONE    ATM2 -> c039
173.872212,DONE,c039,2,,,0,
177.843122,LOG,,,,,1,ARRIVAL c040 -> q=1
177.843122,ARRIVAL,c040,,,,1,
177.843122,LOG,,,,,0,"START   ATM1 <- c040 (wait=0.00m, st=4.87m)"
177.843122,START,c040,1,0.000000,4.872197,0,
178.006359,LOG,,,,,1,ARRIVAL c041 -> q=1
178.006359,ARRIVAL,c041,,,,1,
178.006359,LOG,,,,,0,"START   ATM2 <- c041 (wait=0.00m, st=3.12m)"
178.006359,START,c041,2,0.000000,3.116630,0,
181.122989,LOG,,,,,0,DONE    ATM2 -> c041
181.122989,DONE,c041,2,,,0,
182.715319,LOG,,,,,0,DONE    ATM1 -> c040
182.715319,DONE,c040,1,,,0,
183.041532,LOG,,,,,1,ARRIVAL c042 -> q=1
183.041532,ARRIVAL,c042,,,,1,
183.041532,LOG,,,,,0,"START   ATM1 <- c042 (wait=0.00m, st=1.03m)"
183.041532,START,c042,1,0.000000,1.031166,0,
184.072698,LOG,,,,,0,DONE    ATM1 -> c042
184.072698,DONE,c042,1,,,0,
187.094189,LOG,,,,,1,ARRIVAL c043 -> q=1
187.094189,ARRIVAL,c043,,,,1,
187.094189,LOG,,,,,0,"START   ATM1 <- c043 (wait=0.00m, st=5.04m)"
187.094189,START,c043,1,0.000000,5.042207,0,
191.088315,LOG,,,,,1,ARRIVAL c044 -> q=1
191.088315,ARRIVAL,c044,,,,1,
191.088315,LOG,,,,,0,"START   ATM2 <- c044 (wait=0.00m, st=1.13m)"
191.088315,START,c044,2,0.000000,1.130334,0,
192.136396,LOG,,,,,0,DONE    ATM1 -> c043
192.136396,DONE,c043,1,,,0,
192.218649,LOG,,,,,0,DONE    ATM2 -> c044
192.218649,DONE,c044,2,,,0,
194.144737,LOG,,,,,1,ARRIVAL c045 -> q=1
194.144737,ARRIVAL,c045,,,,1,
194.144737,LOG,,,,,0,"START   ATM1 <- c045 (wait=0.00m, st=2.59m)"
194.144737,START,c045,1,0.000000,2.593539,0,
196.738276,LOG,,,,,0,DONE    ATM1 -> c045
196.738276,DONE,c045,1,,,0,
206.277686,LOG,,,,,1,ARRIVAL c046 -> q=1
206.277686,ARRIVAL,c046,,,,1,
206.277686,LOG,,,,,0,"START   ATM1 <- c046 (wait=0.00m, st=2.53m)"
206.277686,START,c046,1,0.000000,2.533784,0,
208.811470,LOG,,,,,0,DONE    ATM1 -> c046
208.811470,DONE,c046,1,,,0,
213.956167,LOG,,,,,1,ARRIVAL c047 -> q=1
213.956167,ARRIVAL,c047,,,,1,
213.956167,LOG,,,,,0,"START   ATM1 <- c047 (wait=0.00m, st=1.89m)"
213.956167,START,c047,1,0.000000,1.885087,0,
214.741816,LOG,,,,,1,ARRIVAL c048 -> q=1
214.741816,ARRIVAL,c048,,,,1,
214.741816,LOG,,,,,0,"START   ATM2 <- c048 (wait=0.00m, st=1.73m)"
214.741816,START,c048,2,0.000000,1.734269,0,
215.226428,LOG,,,,,1,ARRIVAL c049 -> q=1
215.226428,ARRIVAL,c049,,,,1,
215.841254,LOG,,,,,1,DONE    ATM1 -> c047
215.841254,DONE,c047,1,,,1,
215.841254,LOG,,,,,0,"START   ATM1 <- c049 (wait=0.61m, st=1.56m)"
215.841254,START,c049,1,0.614827,1.560051,0,
216.476085,LOG,,,,,0,DONE    ATM2 -> c048
216.476085,DONE,c048,2,,,0,
217.401305,LOG,,,,,0,DONE    ATM1 -> c049
217.401305,DONE,c049,1,,,0,
229.881153,LOG,,,,,1,ARRIVAL c050 -> q=1
229.881153,ARRIVAL,c050,,,,1,
229.881153,LOG,,,,,0,"START   ATM1 <- c050 (wait=0.00m, st=5.46m)"
229.881153,START,c050,1,0.000000,5.464391,0,
235.345544,LOG,,,,,0,DONE    ATM1 -> c050
235.345544,DONE,c050,1,,,0,
238.894388,LOG,,,,,1,ARRIVAL c051 -> q=1
238.894388,ARRIVAL,c051,,,,1,
238.894388,LOG,,,,,0,"START   ATM1 <- c051 (wait=0.00m, st=3.70m)"
238.894388,START,c051,1,0.000000,3.703889,0,
